Time,t,structuralLive,structuralRotation,sessiond,relayd
2025-07-01 10:37:02,506,0.4435714,0,0.005,0.5864286
2025-07-01 10:37:03,507,0.444254,0,0.0042854,0.5856725
2025-07-01 10:37:04,508,0.4435714,0,0.0042857,0.5857143
2025-07-01 10:37:05,509,0.4442857,0,0.005,0.5857143
2025-07-01 10:37:06,510,0.4442857,0,0.0057143,0.5857143
2025-07-01 10:37:07,511,0.4435714,0,0.0057143,0.5857143
2025-07-01 10:37:08,512,0.444254,0,0.0049996,0.5863867
2025-07-01 10:37:09,513,0.4442857,0,0.005,0.5857143
2025-07-01 10:37:10,514,0.4442857,0,0.005,0.5857143
2025-07-01 10:37:11,515,0.4442857,0,0.0057143,0.5857143
2025-07-01 10:37:12,516,0.4435714,0,0.0057143,0.5857143
2025-07-01 10:37:13,517,0.4442857,0,0.0042857,0.5857143
2025-07-01 10:37:14,518,0.4435714,0,0.0035714,0.5857143
2025-07-01 10:37:15,519,0.4436031,0,0.004286,0.5857561
2025-07-01 10:37:16,520,0.4442857,0,0.0042857,0.585
2025-07-01 10:37:17,521,0.4436031,0,0.0050004,0.5857561
2025-07-01 10:37:18,522,0.4435397,0,0.0057139,0.5863867
2025-07-01 10:37:19,523,0.4435714,0,0.0042857,0.5857143
2025-07-01 10:37:20,524,0.4435714,0,0.0035714,0.5864286
2025-07-01 10:37:21,525,0.4442857,0,0.0042857,0.5864286
2025-07-01 10:37:22,526,0.4436031,0,0.004286,0.5864705
2025-07-01 10:37:23,527,0.444254,0,0.0042854,0.5863867
2025-07-01 10:37:24,528,0.4435397,0,0.0049996,0.5863867
2025-07-01 10:37:25,529,0.4442857,0,0.0057143,0.5864286
2025-07-01 10:37:26,530,0.4442857,0,0.005,0.5864286
2025-07-01 10:37:27,531,0.4435714,0,0.0057143,0.5857143
2025-07-01 10:37:28,532,0.444254,0,0.0057139,0.5863867
2025-07-01 10:37:29,533,0.445,0,0.0057143,0.5864286
2025-07-01 10:37:30,534,0.4442857,0,0.0057143,0.5871429
2025-07-01 10:37:31,535,0.445,0,0.005,0.5864286
2025-07-01 10:37:32,536,0.4443175,0,0.004286,0.5857561
2025-07-01 10:37:33,537,0.445,0,0.005,0.5864286
2025-07-01 10:37:34,538,0.4442857,0,0.0057143,0.585
2025-07-01 10:37:35,539,0.4443175,0,0.0057147,0.5850418
2025-07-01 10:37:36,540,0.4442857,0,0.0057143,0.585
2025-07-01 10:37:37,541,0.4442857,0,0.0064286,0.585
2025-07-01 10:37:38,542,0.4443175,0,0.0057147,0.5850418
2025-07-01 10:37:39,543,0.4435714,0,0.005,0.585
2025-07-01 10:37:40,544,0.4442857,0,0.005,0.585
2025-07-01 10:37:41,545,0.4435714,0,0.0042857,0.585
2025-07-01 10:37:42,546,0.4436031,0,0.0050004,0.5843275
2025-07-01 10:37:43,547,0.4428255,0,0.0042854,0.5849582
2025-07-01 10:37:44,548,0.4435397,0,0.0049996,0.584244
2025-07-01 10:37:45,549,0.4428571,0,0.005,0.5842857
2025-07-01 10:37:46,550,0.4435714,0,0.005,0.585
2025-07-01 10:37:47,551,0.4428255,0,0.0042854,0.584244
2025-07-01 10:37:48,552,0.444254,0,0.0042854,0.5856725
2025-07-01 10:37:49,553,0.4428571,0,0.0042857,0.5857143
2025-07-01 10:37:50,554,0.4435397,0,0.0042854,0.5849582
2025-07-01 10:37:51,555,0.4428888,0,0.004286,0.5864705
2025-07-01 10:37:52,556,0.4435714,0,0.0042857,0.585
2025-07-01 10:37:53,557,0.4442857,0,0.0035714,0.5857143
2025-07-01 10:37:54,558,0.4435714,0,0.0035714,0.585
2025-07-01 10:37:55,559,0.4442857,0,0.0042857,0.5857143
2025-07-01 10:37:56,560,0.444254,0,0.0042854,0.5863867
2025-07-01 10:37:57,561,0.4443175,0,0.0050004,0.5850418
2025-07-01 10:37:58,562,0.4435714,0,0.0042857,0.5857143
2025-07-01 10:37:59,563,0.444254,0,0.0049996,0.5863867
2025-07-01 10:38:00,564,0.444254,0,0.0049996,0.5856725
2025-07-01 10:38:01,565,0.4435714,0,0.0064286,0.5864286
2025-07-01 10:38:02,566,0.4436031,0,0.0057147,0.5850418
2025-07-01 10:38:03,567,0.4442857,0,0.005,0.5857143
2025-07-01 10:38:04,568,0.4436031,0,0.006429,0.5857561
2025-07-01 10:38:05,569,0.4435714,0,0.0057143,0.5842857
2025-07-01 10:38:06,570,0.4435714,0,0.0057143,0.5857143
2025-07-01 10:38:07,571,0.4428255,0,0.0064281,0.5849582
2025-07-01 10:38:08,572,0.4435714,0,0.0071429,0.5857143
2025-07-01 10:38:09,573,0.4435714,0,0.0064286,0.585
2025-07-01 10:38:10,574,0.4436031,0,0.0057147,0.5850418
2025-07-01 10:38:11,575,0.4435714,0,0.005,0.585
2025-07-01 10:38:12,576,0.4435714,0,0.0064286,0.585
2025-07-01 10:38:13,577,0.4428888,0,0.0057147,0.5850418
2025-07-01 10:38:14,578,0.4436031,0,0.0057147,0.5850418
2025-07-01 10:38:15,579,0.4443175,0,0.004286,0.5850418
2025-07-01 10:38:16,580,0.4428255,0,0.0042854,0.5849582
2025-07-01 10:38:17,581,0.4435714,0,0.005,0.5842857
